ticker,year,amount,anchor_end
AAP,2025,0.0,2024-12-28
AAP,2026,300000000.0,2024-12-28
AAP,2027,350000000.0,2024-12-28
AAP,2028,300000000.0,2024-12-28
AAP,2029,0.0,2024-12-28
AAP,2030,850000000.0,2024-12-28
ABG,2026,484400000.0,2025-12-31
ABG,2027,42400000.0,2025-12-31
ABG,2028,610200000.0,2025-12-31
ABG,2029,837700000.0,2025-12-31
ABG,2030,482900000.0,2025-12-31
ABG,2031,1135800000.0,2025-12-31
ABR,2026,4931405000.0,2025-12-31
ABR,2027,3067110000.0,2025-12-31
ABR,2028,2368357000.0,2025-12-31
ABR,2029,53586000.0,2025-12-31
ABR,2030,500000000.0,2025-12-31
ABR,2031,154336000.0,2025-12-31
ADT,2026,287530000.0,2025-12-31
ADT,2027,1179896000.0,2025-12-31
ADT,2028,132050000.0,2025-12-31
ADT,2029,1093356000.0,2025-12-31
ADT,2030,1987196000.0,2025-12-31
ADT,2031,3119180000.0,2025-12-31
BXMT,2026,1862237000.0,2025-12-31
BXMT,2027,4291304000.0,2025-12-31
BXMT,2028,1585658000.0,2025-12-31
BXMT,2029,2349227000.0,2025-12-31
BXMT,2030,3235822000.0,2025-12-31
BXMT,2031,700600000.0,2025-12-31
CE,2026,1204000000.0,2025-12-31
CE,2027,1357000000.0,2025-12-31
CE,2028,1564000000.0,2025-12-31
CE,2029,1356000000.0,2025-12-31
CE,2030,1800000000.0,2025-12-31
CE,2031,5423000000.0,2025-12-31
CWEN,2026,1139000000.0,2025-12-31
CWEN,2027,364000000.0,2025-12-31
CWEN,2028,2022000000.0,2025-12-31
CWEN,2029,863000000.0,2025-12-31
CWEN,2030,995000000.0,2025-12-31
CWEN,2031,3291000000.0,2025-12-31
CWEN-A,2026,1139000000.0,2025-12-31
CWEN-A,2027,364000000.0,2025-12-31
CWEN-A,2028,2022000000.0,2025-12-31
CWEN-A,2029,863000000.0,2025-12-31
CWEN-A,2030,995000000.0,2025-12-31
CWEN-A,2031,3291000000.0,2025-12-31
CZR,2026,114000000.0,2025-12-31
CZR,2027,114000000.0,2025-12-31
CZR,2028,805000000.0,2025-12-31
CZR,2029,1574000000.0,2025-12-31
CZR,2030,3962000000.0,2025-12-31
CZR,2031,5336000000.0,2025-12-31
DXC,2026,757000000.0,2025-03-31
DXC,2027,722000000.0,2025-03-31
DXC,2028,813000000.0,2025-03-31
DXC,2029,653000000.0,2025-03-31
DXC,2030,2000000.0,2025-03-31
DXC,2031,651000000.0,2025-03-31
GPI,2026,260000000.0,2025-12-31
GPI,2027,244400000.0,2025-12-31
GPI,2028,926000000.0,2025-12-31
GPI,2029,318400000.0,2025-12-31
GPI,2030,1575600000.0,2025-12-31
GPI,2031,388300000.0,2025-12-31
HTZ,2026,3185000000.0,2025-12-31
HTZ,2027,4760000000.0,2025-12-31
HTZ,2028,3946000000.0,2025-12-31
HTZ,2029,3459000000.0,2025-12-31
