ticker,reason
AAMI.US,sector-excluded: Financial Services
ABCB.US,sector-excluded: Financial Services
ACT.US,sector-excluded: Financial Services
ADAM.US,no-fy2019 (earliest=2020-12-31 00:00:00)
AESI.US,no-fy2019 (earliest=2020-12-31 00:00:00)
AGO.US,sector-excluded: Financial Services
AMSF.US,sector-excluded: Financial Services
AMTM.US,no-fy2019 (earliest=2021-12-31 00:00:00)
APAM.US,sector-excluded: Financial Services
AUB.US,sector-excluded: Financial Services
AX.US,sector-excluded: Financial Services
BANC.US,sector-excluded: Financial Services
BANF.US,sector-excluded: Financial Services
BANR.US,sector-excluded: Financial Services
BBT.US,sector-excluded: Financial Services
BFH.US,sector-excluded: Financial Services
BGC.US,sector-excluded: Financial Services
BKU.US,sector-excluded: Financial Services
BOH.US,sector-excluded: Financial Services
CASH.US,sector-excluded: Financial Services
CATY.US,sector-excluded: Financial Services
CBU.US,sector-excluded: Financial Services
CFFN.US,sector-excluded: Financial Services
CHCO.US,sector-excluded: Financial Services
CLSK.US,sector-excluded: Financial Services
CNS.US,sector-excluded: Financial Services
CON.US,no-cache
CPF.US,sector-excluded: Financial Services
CRVL.US,sector-excluded: Financial Services
CUBI.US,sector-excluded: Financial Services
CURB.US,no-fy2019 (earliest=2021-12-31 00:00:00)
CVBF.US,sector-excluded: Financial Services
CXM.US,no-fy2019 (earliest=2020-01-31 00:00:00)
DCOM.US,sector-excluded: Financial Services
ECG.US,no-fy2019 (earliest=2021-12-31 00:00:00)
ECPG.US,sector-excluded: Financial Services
EGBN.US,sector-excluded: Financial Services
EIG.US,sector-excluded: Financial Services
ENVA.US,sector-excluded: Financial Services
EZPW.US,sector-excluded: Financial Services
FBK.US,sector-excluded: Financial Services
FBNC.US,sector-excluded: Financial Services
FBP.US,sector-excluded: Financial Services
FCF.US,sector-excluded: Financial Services
FFBC.US,sector-excluded: Financial Services
FHB.US,sector-excluded: Financial Services
FIBK.US,sector-excluded: Financial Services
FTRE.US,no-fy2019 (earliest=2020-12-31 00:00:00)
FULT.US,sector-excluded: Financial Services
GNW.US,sector-excluded: Financial Services
GSHD.US,sector-excluded: Financial Services
HAFC.US,sector-excluded: Financial Services
HASI.US,sector-excluded: Financial Services
HCI.US,sector-excluded: Financial Services
HFWA.US,sector-excluded: Financial Services
HMN.US,sector-excluded: Financial Services
HOPE.US,sector-excluded: Financial Services
HTH.US,sector-excluded: Financial Services
INDB.US,sector-excluded: Financial Services
JXN.US,sector-excluded: Financial Services
KGS.US,no-fy2019 (earliest=2020-12-31 00:00:00)
KMPR.US,sector-excluded: Financial Services
LKFN.US,sector-excluded: Financial Services
LNC.US,sector-excluded: Financial Services
MARA.US,sector-excluded: Financial Services
MBIN.US,sector-excluded: Financial Services
MC.US,sector-excluded: Financial Services
MCY.US,sector-excluded: Financial Services
MKTX.US,sector-excluded: Financial Services
MRP.US,no-fy2019 (earliest=2022-12-31 00:00:00)
NATL.US,no-fy2019 (earliest=2020-12-31 00:00:00)
NAVI.US,sector-excluded: Financial Services
NBHC.US,sector-excluded: Financial Services
NBTB.US,sector-excluded: Financial Services
NMIH.US,sector-excluded: Financial Services
NWBI.US,sector-excluded: Financial Services
OFG.US,sector-excluded: Financial Services
PFBC.US,sector-excluded: Financial Services
PFS.US,sector-excluded: Financial Services
PHIN.US,no-fy2019 (earliest=2020-12-31 00:00:00)
PIPR.US,sector-excluded: Financial Services
PJT.US,sector-excluded: Financial Services
PLMR.US,sector-excluded: Financial Services
PRA.US,sector-excluded: Financial Services
PRAA.US,sector-excluded: Financial Services
PRK.US,sector-excluded: Financial Services
RAL.US,no-fy2019 (earliest=2022-12-31 00:00:00)
RDN.US,sector-excluded: Financial Services
RNST.US,sector-excluded: Financial Services
SAFT.US,sector-excluded: Financial Services
SBCF.US,sector-excluded: Financial Services
SBSI.US,sector-excluded: Financial Services
SEZL.US,sector-excluded: Financial Services
SFBS.US,sector-excluded: Financial Services
SFNC.US,sector-excluded: Financial Services
SNEX.US,sector-excluded: Financial Services
SPNT.US,sector-excluded: Financial Services
STBA.US,sector-excluded: Financial Services
STC.US,sector-excluded: Financial Services
STEL.US,sector-excluded: Financial Services
STEP.US,sector-excluded: Financial Services
TBBK.US,sector-excluded: Financial Services
TFIN.US,sector-excluded: Financial Services
TMP.US,sector-excluded: Financial Services
TRMK.US,sector-excluded: Financial Services
TRST.US,sector-excluded: Financial Services
TRUP.US,sector-excluded: Financial Services
UCB.US,sector-excluded: Financial Services
UFCS.US,sector-excluded: Financial Services
VCTR.US,sector-excluded: Financial Services
VGNT.US,no-fy2019 (earliest=2022-12-31 00:00:00)
VIRT.US,sector-excluded: Financial Services
VRTS.US,sector-excluded: Financial Services
VSNT.US,no-fy2019 (earliest=2022-12-31 00:00:00)
VSTS.US,no-fy2019 (earliest=2020-09-30 00:00:00)
WABC.US,sector-excluded: Financial Services
WAFD.US,sector-excluded: Financial Services
WAY.US,no-fy2019 (earliest=2021-12-31 00:00:00)
WD.US,sector-excluded: Financial Services
WRLD.US,sector-excluded: Financial Services
WS.US,no-fy2019 (earliest=2021-05-31 00:00:00)
WSFS.US,sector-excluded: Financial Services
WT.US,sector-excluded: Financial Services
WU.US,sector-excluded: Financial Services
