ticker,eodhd_ticker,name,sector,industry,ipo_date,market_cap
AAP,AAP.US,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,2001-11-29,
AAT,AAT.US,American Assets Trust Inc,Real Estate,REIT - Diversified,2011-01-13,
ABG,ABG.US,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,2002-03-21,
ABM,ABM.US,ABM Industries Incorporated,Industrials,Specialty Business Services,1984-07-19,
ABR,ABR.US,Arbor Realty Trust,Real Estate,REIT - Mortgage,2004-04-07,
ACA,ACA.US,Arcosa Inc,Industrials,Engineering & Construction,2018-10-30,
ACAD,ACAD.US,ACADIA Pharmaceuticals Inc,Healthcare,Biotechnology,2004-05-27,
ACHC,ACHC.US,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,1994-03-04,
ACIW,ACIW.US,ACI Worldwide Inc,Technology,Software - Infrastructure,1995-02-23,
ACLS,ACLS.US,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,2000-07-11,
ACMR,ACMR.US,Acm Research Inc,Technology,Semiconductor Equipment & Materials,2017-11-03,
ADEA,ADEA.US,ADEIA CORP,Technology,Software - Application,2003-11-20,
ADMA,ADMA.US,ADMA Biologics Inc,Healthcare,Biotechnology,2013-10-17,
ADNT,ADNT.US,Adient PLC,Consumer Cyclical,Auto Parts,2016-10-31,
ADT,ADT.US,ADT Inc,Industrials,Security & Protection Services,2018-01-19,
ADUS,ADUS.US,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,2009-10-28,
AEO,AEO.US,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail,1994-04-13,
AGX,AGX.US,Argan Inc,Industrials,Engineering & Construction,1995-08-18,
AGYS,AGYS.US,Agilysys Inc,Technology,Software - Application,1990-03-26,
AHCO,AHCO.US,Adapthealth Corp,Healthcare,Medical Devices,2018-05-24,
AIN,AIN.US,Albany International Corporation,Consumer Cyclical,Textile Manufacturing,1987-09-30,
AIR,AIR.US,AAR Corp,Industrials,Aerospace & Defense,1988-01-01,
AKR,AKR.US,Acadia Realty Trust,Real Estate,REIT - Retail,1993-05-26,
ALG,ALG.US,Alamo Group Inc,Industrials,Farm & Heavy Construction Machinery,1993-03-18,
ALGT,ALGT.US,Allegiant Travel Company,Industrials,Airlines,2006-12-08,
ALKS,ALKS.US,Alkermes Plc,Healthcare,Drug Manufacturers - Specialty & Generic,1991-07-16,
ALRM,ALRM.US,Alarm.com Holdings Inc,Technology,Software - Application,2015-06-26,
AMN,AMN.US,AMN Healthcare Services Inc,Healthcare,Medical Care Facilities,2001-11-13,
AMPH,AMPH.US,Amphastar P,Healthcare,Drug Manufacturers - Specialty & Generic,2014-06-25,
AMR,AMR.US,Alpha Metallurgical Resources Inc,Basic Materials,Coking Coal,2017-03-24,
AMRX,AMRX.US,"Amneal Pharmaceuticals, Inc. Class A Common Stock",Healthcare,Drug Manufacturers - Specialty & Generic,2009-01-15,
AMWD,AMWD.US,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1986-07-21,
ANDE,ANDE.US,The Andersons Inc,Consumer Defensive,Food Distribution,1996-02-20,
ANIP,ANIP.US,ANI Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,2000-05-05,
AORT,AORT.US,Artivion Inc,Healthcare,Medical Devices,1993-02-12,
AOSL,AOSL.US,Alpha and Omega Semiconductor Ltd,Technology,Semiconductors,2010-04-29,
APLE,APLE.US,Apple Hospitality REIT Inc,Real Estate,REIT - Hotel & Motel,2015-05-18,
APLS,APLS.US,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,2017-11-09,
APOG,APOG.US,Apogee Enterprises Inc,Industrials,Building Products & Equipment,1978-01-13,
ARCB,ARCB.US,ArcBest Corp,Industrials,Trucking,1992-05-13,
ARI,ARI.US,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,2009-09-24,
ARLO,ARLO.US,Arlo Technologies,Industrials,Building Products & Equipment,2018-08-03,
AROC,AROC.US,Archrock Inc,Energy,Oil & Gas Equipment & Services,1997-07-01,
ARR,ARR.US,ARMOUR Residential REIT Inc,Real Estate,REIT - Mortgage,2007-12-03,
