ticker,eodhd_ticker,name,sector,industry,ipo_date,market_cap
SSTK,SSTK.US,Shutterstock,Communication Services,Internet Content & Information,2012-10-11,
LUMN,LUMN.US,Lumen Technologies Inc,Communication Services,Telecom Services,1972-12-15,
PRSU,PRSU.US,"Pursuit Attractions and Hospitality, Inc.",Consumer Cyclical,Travel Services,2004-08-12,
ETD,ETD.US,Ethan Allen Interiors Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1993-03-16,
SMPL,SMPL.US,Simply Good Foods Co,Consumer Defensive,Packaged Foods,2016-07-15,
CENT,CENT.US,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,1993-07-15,
LPG,LPG.US,Dorian LPG Ltd,Energy,Oil & Gas Midstream,2014-05-08,
TDW,TDW.US,Tidewater Inc,Energy,Oil & Gas Equipment & Services,1987-12-30,
HOPE,HOPE.US,Hope Bancorp Inc,Financial Services,Banks - Regional,1996-12-27,
SFBS,SFBS.US,ServisFirst Bancshares Inc,Financial Services,Banks - Regional,2014-05-14,
CNMD,CNMD.US,CONMED Corporation,Healthcare,Medical Devices,1987-07-23,
INVA,INVA.US,Innoviva Inc,Healthcare,Biotechnology,2004-10-05,
MRCY,MRCY.US,Mercury Systems Inc,Industrials,Aerospace & Defense,1998-01-30,
MWA,MWA.US,Mueller Water Products,Industrials,Specialty Industrial Machinery,2006-05-26,
NSSC,NSSC.US,NAPCO Security Technologies Inc,Industrials,Security & Protection Services,1990-03-26,
RNG,RNG.US,Ringcentral Inc,Technology,Software - Application,2013-09-27,
LNN,LNN.US,Lindsay Corporation,Industrials,Farm & Heavy Construction Machinery,1988-10-12,
OI,OI.US,O-I Glass Inc,Consumer Cyclical,Packaging & Containers,1991-12-11,
ARI,ARI.US,Apollo Commercial Real Estate Finance Inc,Real Estate,REIT - Mortgage,2009-09-24,
WSR,WSR.US,Whitestone REIT,Real Estate,REIT - Retail,2010-08-26,
