ticker,fy,period_end,bucket,year,amount,tag,filed,form
AAP,2026,2026-01-03,y1,2027.0,0.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-13,10-K
AAP,2026,2026-01-03,y2,2028.0,350000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-13,10-K
AAP,2026,2026-01-03,y3,2029.0,300000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-13,10-K
AAP,2026,2026-01-03,y4,2030.0,0.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-13,10-K
AAP,2026,2026-01-03,y5,2031.0,1475000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-13,10-K
AAP,2026,2026-01-03,yGT5,2032.0,1325000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-13,10-K
ABG,2025,2025-12-31,y1,2026.0,484400000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-20,10-K
ABG,2025,2025-12-31,y2,2027.0,42400000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-20,10-K
ABG,2025,2025-12-31,y3,2028.0,610200000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-20,10-K
ABG,2025,2025-12-31,y4,2029.0,837700000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-20,10-K
ABG,2025,2025-12-31,y5,2030.0,482900000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-20,10-K
ABG,2025,2025-12-31,yGT5,2031.0,1135800000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-20,10-K
ABR,2025,2025-12-31,y1,2026.0,4931405000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-02-27,10-K
ABR,2025,2025-12-31,y2,2027.0,3067110000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-02-27,10-K
ABR,2025,2025-12-31,y3,2028.0,2368357000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,2026-02-27,10-K
ABR,2025,2025-12-31,y4,2029.0,53586000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,2026-02-27,10-K
ABR,2025,2025-12-31,y5,2030.0,500000000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,2026-02-27,10-K
ABR,2025,2025-12-31,yGT5,2031.0,154336000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,2026-02-27,10-K
ADT,2025,2025-12-31,y1,2026.0,287530000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,2026-03-02,10-K
ADT,2025,2025-12-31,y2,2027.0,1179896000.0,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,2026-03-02,10-K
