ticker,period_end,y1,y2,y3,y4,y5,yGT5
AAP,2026-01-03,0.0,350000000.0,300000000.0,0.0,1475000000.0,1325000000.0
ABG,2025-12-31,484400000.0,42400000.0,610200000.0,837700000.0,482900000.0,1135800000.0
ABR,2025-12-31,4931405000.0,3067110000.0,2368357000.0,53586000.0,500000000.0,154336000.0
ADT,2025-12-31,287530000.0,1179896000.0,132050000.0,1093356000.0,1987196000.0,3119180000.0
ARI,2012-12-31,179071000.0,,,,,
BXMT,2025-12-31,1862237000.0,4291304000.0,1585658000.0,2349227000.0,3235822000.0,700600000.0
CC,2017-12-31,,,,,,2758000000.0
CE,2025-12-31,1204000000.0,1357000000.0,1564000000.0,1356000000.0,1800000000.0,5423000000.0
CWEN,2025-12-31,1139000000.0,364000000.0,2022000000.0,863000000.0,995000000.0,3291000000.0
CWEN-A,2025-12-31,1139000000.0,364000000.0,2022000000.0,863000000.0,995000000.0,3291000000.0
CZR,2025-12-31,114000000.0,114000000.0,805000000.0,1574000000.0,3962000000.0,5336000000.0
DEI,2019-12-31,752000.0,787000.0,300823000.0,915862000.0,800902000.0,2634138000.0
DXC,2025-03-31,757000000.0,722000000.0,813000000.0,653000000.0,2000000.0,651000000.0
GPI,2025-12-31,260000000.0,244400000.0,926000000.0,318400000.0,1575600000.0,388300000.0
HTZ,2025-12-31,3185000000.0,4760000000.0,3946000000.0,3459000000.0,1389000000.0,464000000.0
JBLU,2025-12-31,755000000.0,411000000.0,516000000.0,1768000000.0,589000000.0,4459000000.0
KSS,2011-07-30,100000000.0,,,,,
LKQ,2025-12-31,32000000.0,525000000.0,1112000000.0,522000000.0,9000000.0,1495000000.0
LTH,2025-12-31,21848000.0,27812000.0,10139000.0,10149000.0,10167000.0,1445118000.0
LUMN,2020-12-31,2427000000.0,1544000000.0,966000000.0,2043000000.0,3057000000.0,22115000000.0
MPT,2025-12-31,1225363000.0,1600000000.0,808500000.0,900000000.0,471625000.0,4825384000.0
NWL,2025-12-31,130000000.0,500000000.0,1252000000.0,500000000.0,750000000.0,1586000000.0
OGN,2025-12-31,10000000.0,10000000.0,3580000000.0,10000000.0,21000000.0,5071000000.0
OI,2025-12-31,66000000.0,693000000.0,781000000.0,657000000.0,1086000000.0,1620000000.0
PENN,2025-12-31,145000000.0,1407000000.0,10800000.0,1335800000.0,800000.0,4700000.0
RHP,2025-12-31,7242000.0,707242000.0,407242000.0,607242000.0,282423000.0,2028735000.0
RITM,2025-12-31,16436995000.0,4387098000.0,1824870000.0,4795827000.0,2457637000.0,
RUN,2025-12-31,294093000.0,1401577000.0,2543717000.0,1353503000.0,1869997000.0,7396340000.0
SABR,2025-12-31,247665000.0,206500000.0,4500000.0,2278565000.0,1794802000.0,
SAFE,2025-12-31,0.0,10000000.0,79193000.0,780000000.0,400000000.0,3371398000.0
SAH,2016-12-31,43127000.0,55986000.0,19605000.0,51523000.0,45434000.0,681589000.0
SLG,2025-12-31,655148000.0,2569277000.0,284550000.0,177000000.0,0.0,358524000.0
TRN,2025-12-31,1096100000.0,680400000.0,1679800000.0,259000000.0,938000000.0,813200000.0
TWO,2025-12-31,7598256000.0,567731000.0,0.0,280140000.0,111055000.0,
VAC,2025-12-31,583000000.0,583000000.0,358000000.0,508000000.0,8000000.0,1323000000.0
VSAT,2025-03-31,503825000.0,334084000.0,631682000.0,1085049000.0,3223016000.0,1426619000.0
