year,sum_b,n_tickers,vintage
2025,0.0,1,FY2025-anchor (current view)
2026,45.471107,30,FY2025-anchor (current view)
2027,33.476831,30,FY2025-anchor (current view)
2028,32.978258,30,FY2025-anchor (current view)
2029,31.247544,30,FY2025-anchor (current view)
2030,31.79704,30,FY2025-anchor (current view)
2031,61.178234,26,FY2025-anchor (current view)
2020,11.253952,22,FY2019-anchor (what they expected pre-rate-hikes)
2021,13.29413,22,FY2019-anchor (what they expected pre-rate-hikes)
2022,13.922885,23,FY2019-anchor (what they expected pre-rate-hikes)
2023,15.529296,23,FY2019-anchor (what they expected pre-rate-hikes)
2024,14.894995,23,FY2019-anchor (what they expected pre-rate-hikes)
2025,32.125744,23,FY2019-anchor (what they expected pre-rate-hikes)
2025,0.0,1,FY2025-anchor ex-REIT (industrial corporates only)
2026,12.754461,22,FY2025-anchor ex-REIT (industrial corporates only)
2027,16.277069,22,FY2025-anchor ex-REIT (industrial corporates only)
2028,25.619888,22,FY2025-anchor ex-REIT (industrial corporates only)
2029,21.304522,22,FY2025-anchor ex-REIT (industrial corporates only)
2030,24.338478,22,FY2025-anchor ex-REIT (industrial corporates only)
2031,49.739257,20,FY2025-anchor ex-REIT (industrial corporates only)
