ticker,period_end,frequency,metric,value
ARI,2018-12-31,annual,total_debt,2471522000.0
ARI,2019-12-31,annual,total_debt,4127900000.0
ARI,2020-12-31,annual,total_debt,7999697000.0
ARI,2021-12-31,annual,total_debt,10141953000.0
ARI,2022-12-31,annual,total_debt,7286180000.0
ARI,2023-12-31,annual,total_debt,6954825000.0
ARI,2024-12-31,annual,total_debt,6390203000.0
ARI,2025-12-31,annual,total_debt,7918012000.0
ARI,2018-03-31,quarterly,total_debt,1798721000.0
ARI,2018-06-30,quarterly,total_debt,3135000000.0
ARI,2018-09-30,quarterly,total_debt,2367045000.0
ARI,2018-12-31,quarterly,total_debt,2471522000.0
ARI,2019-03-31,quarterly,total_debt,2718431000.0
ARI,2019-06-30,quarterly,total_debt,2864261000.0
ARI,2019-09-30,quarterly,total_debt,3632274000.0
ARI,2019-12-31,quarterly,total_debt,4127900000.0
ARI,2020-03-31,quarterly,total_debt,4476962000.0
ARI,2020-06-30,quarterly,total_debt,4488939000.0
ARI,2020-09-30,quarterly,total_debt,7992222000.0
ARI,2020-12-31,quarterly,total_debt,7999697000.0
ARI,2021-03-31,quarterly,total_debt,8245025000.0
ARI,2021-06-30,quarterly,total_debt,9228127000.0
ARI,2021-09-30,quarterly,total_debt,8726324000.0
ARI,2021-12-31,quarterly,total_debt,10141953000.0
ARI,2022-03-31,quarterly,total_debt,10994256000.0
ARI,2022-06-30,quarterly,total_debt,12219402000.0
ARI,2022-09-30,quarterly,total_debt,12209538000.0
ARI,2022-12-31,quarterly,total_debt,7286180000.0
ARI,2023-03-31,quarterly,total_debt,12129669000.0
ARI,2023-06-30,quarterly,total_debt,9994904000.0
ARI,2023-09-30,quarterly,total_debt,8980937000.0
ARI,2023-12-31,quarterly,total_debt,6954825000.0
ARI,2024-03-31,quarterly,total_debt,7012592000.0
ARI,2024-06-30,quarterly,total_debt,7117049000.0
ARI,2024-09-30,quarterly,total_debt,7117734000.0
ARI,2024-12-31,quarterly,total_debt,6390203000.0
ARI,2025-03-31,quarterly,total_debt,6814966000.0
ARI,2025-06-30,quarterly,total_debt,7815934000.0
ARI,2025-09-30,quarterly,total_debt,7524344000.0
ARI,2025-12-31,quarterly,total_debt,7918012000.0
CENT,2018-09-30,annual,total_debt,692153000.0
CENT,2019-09-30,annual,total_debt,693150000.0
CENT,2020-09-30,annual,total_debt,814064000.0
CENT,2021-09-30,annual,total_debt,1356620000.0
CENT,2022-09-30,annual,total_debt,1382397000.0
CENT,2023-09-30,annual,total_debt,1374421000.0
CENT,2024-09-30,annual,total_debt,1420447000.0
CENT,2025-09-30,annual,total_debt,1440307000.0
CENT,2018-03-31,quarterly,total_debt,691104000.0
CENT,2018-06-30,quarterly,total_debt,691860000.0
CENT,2018-09-30,quarterly,total_debt,692153000.0
CENT,2018-12-31,quarterly,total_debt,692449000.0
CENT,2019-03-31,quarterly,total_debt,697765000.0
CENT,2019-06-30,quarterly,total_debt,693064000.0
CENT,2019-09-30,quarterly,total_debt,693150000.0
CENT,2019-12-31,quarterly,total_debt,803039000.0
CENT,2020-03-31,quarterly,total_debt,796888000.0
CENT,2020-06-30,quarterly,total_debt,797119000.0
CENT,2020-09-30,quarterly,total_debt,814064000.0
CENT,2020-12-31,quarterly,total_debt,909581000.0
CENT,2021-03-31,quarterly,total_debt,1119404000.0
CENT,2021-06-30,quarterly,total_debt,1338412000.0
CENT,2021-09-30,quarterly,total_debt,1356620000.0
CENT,2021-12-31,quarterly,total_debt,1360693000.0
CENT,2022-03-31,quarterly,total_debt,1396045000.0
CENT,2022-06-30,quarterly,total_debt,1387056000.0
CENT,2022-09-30,quarterly,total_debt,1382397000.0
CENT,2022-12-31,quarterly,total_debt,1381559000.0
CENT,2023-03-31,quarterly,total_debt,1397100000.0
CENT,2023-06-30,quarterly,total_debt,1370381000.0
CENT,2023-09-30,quarterly,total_debt,1374421000.0
CENT,2023-12-31,quarterly,total_debt,1377302000.0
CENT,2024-03-31,quarterly,total_debt,1375045000.0
CENT,2024-06-30,quarterly,total_debt,1394057000.0
CENT,2024-09-30,quarterly,total_debt,1420447000.0
CENT,2024-12-31,quarterly,total_debt,1412338000.0
CENT,2025-03-31,quarterly,total_debt,1424870000.0
CENT,2025-06-30,quarterly,total_debt,1436346000.0
CENT,2025-09-30,quarterly,total_debt,1440307000.0
CENT,2025-12-31,quarterly,total_debt,1607115000.0
CNMD,2018-12-31,annual,total_debt,456900000.0
CNMD,2019-12-31,annual,total_debt,793171000.0
CNMD,2020-12-31,annual,total_debt,776448000.0
CNMD,2021-12-31,annual,total_debt,684656000.0
CNMD,2022-12-31,annual,total_debt,1054822000.0
CNMD,2023-12-31,annual,total_debt,991254000.0
CNMD,2024-12-31,annual,total_debt,905781000.0
CNMD,2025-12-31,annual,total_debt,834942000.0
CNMD,2018-03-31,quarterly,total_debt,458201000.0
CNMD,2018-06-30,quarterly,total_debt,449187000.0
CNMD,2018-09-30,quarterly,total_debt,460945000.0
CNMD,2018-12-31,quarterly,total_debt,456900000.0
CNMD,2019-03-31,quarterly,total_debt,817940000.0
CNMD,2019-06-30,quarterly,total_debt,809663000.0
CNMD,2019-09-30,quarterly,total_debt,794171000.0
CNMD,2019-12-31,quarterly,total_debt,793171000.0
CNMD,2020-03-31,quarterly,total_debt,786201000.0
CNMD,2020-06-30,quarterly,total_debt,805618000.0
CNMD,2020-09-30,quarterly,total_debt,777256000.0
CNMD,2020-12-31,quarterly,total_debt,776448000.0
CNMD,2021-03-31,quarterly,total_debt,745396000.0
CNMD,2021-06-30,quarterly,total_debt,729676000.0
CNMD,2021-09-30,quarterly,total_debt,715586000.0
CNMD,2021-12-31,quarterly,total_debt,684656000.0
CNMD,2022-03-31,quarterly,total_debt,715773000.0
CNMD,2022-06-30,quarterly,total_debt,982699000.0
CNMD,2022-09-30,quarterly,total_debt,1036675000.0
CNMD,2022-12-31,quarterly,total_debt,1054822000.0
CNMD,2023-03-31,quarterly,total_debt,1064969000.0
CNMD,2023-06-30,quarterly,total_debt,1041107000.0
CNMD,2023-09-30,quarterly,total_debt,1012791000.0
CNMD,2023-12-31,quarterly,total_debt,973848000.0
CNMD,2024-03-31,quarterly,total_debt,990802000.0
CNMD,2024-06-30,quarterly,total_debt,965890000.0
CNMD,2024-09-30,quarterly,total_debt,940811000.0
CNMD,2024-12-31,quarterly,total_debt,905781000.0
CNMD,2025-03-31,quarterly,total_debt,892157000.0
CNMD,2025-06-30,quarterly,total_debt,881825000.0
CNMD,2025-09-30,quarterly,total_debt,853753000.0
CNMD,2025-12-31,quarterly,total_debt,834942000.0
ETD,2018-06-30,annual,total_debt,1680000.0
ETD,2019-06-30,annual,total_debt,50671000.0
ETD,2020-06-30,annual,total_debt,180062000.0
ETD,2021-06-30,annual,total_debt,126094000.0
ETD,2022-06-30,annual,total_debt,116325000.0
ETD,2023-06-30,annual,total_debt,130346000.0
ETD,2024-06-30,annual,total_debt,129278000.0
ETD,2025-06-30,annual,total_debt,124356000.0
ETD,2018-03-31,quarterly,total_debt,1705000.0
ETD,2018-06-30,quarterly,total_debt,1680000.0
ETD,2018-09-30,quarterly,total_debt,1479000.0
