ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense,fiscal_year
AAMI,2018-12-31,annual,393300000.0,,,340600000.0,52700000.0,24900000.0,2018
AAMI,2019-12-31,annual,611300000.0,140000000.0,,111300000.0,500000000.0,32200000.0,2019
AAMI,2020-12-31,annual,489100000.0,,394300000.0,371300000.0,117800000.0,28500000.0,2020
AAMI,2021-12-31,annual,472500000.0,6200000.0,394900000.0,252100000.0,220400000.0,24800000.0,2021
AAMI,2022-12-31,annual,349300000.0,7700000.0,273500000.0,108400000.0,240900000.0,20500000.0,2022
AAMI,2023-12-31,annual,346300000.0,8400000.0,273900000.0,146800000.0,199500000.0,19600000.0,2023
AAMI,2024-12-31,annual,341600000.0,9500000.0,274300000.0,94800000.0,246800000.0,19400000.0,2024
AAMI,2025-12-31,annual,322800000.0,,,101200000.0,221600000.0,21700000.0,2025
AAP,2018-12-31,annual,1045930000.0,210000.0,1045720000.0,896527000.0,149193000.0,56588000.0,2018
AAP,2019-12-31,annual,2764479000.0,477982000.0,747320000.0,418665000.0,2345814000.0,39898000.0,2019
AAP,2020-12-31,annual,3047483000.0,462588000.0,1032984000.0,834992000.0,2212491000.0,46886000.0,2020
AAP,2021-12-31,annual,3371971000.0,465121000.0,1034320000.0,601428000.0,2770543000.0,37791000.0,2021
AAP,2022-12-31,annual,3651601000.0,185000000.0,1188283000.0,270805000.0,3380796000.0,50841000.0,2022
AAP,2023-12-31,annual,3826269000.0,445061000.0,1786361000.0,488049000.0,3338220000.0,88000000.0,2023
AAP,2024-12-31,annual,3686000000.0,0.0,1789161000.0,1869000000.0,1817000000.0,81000000.0,2024
AAP,2025-12-31,annual,5224000000.0,435000000.0,3412000000.0,3123000000.0,2101000000.0,139000000.0,2025
AAT,2018-12-31,annual,1290772000.0,62337000.0,1228435000.0,47956000.0,1242816000.0,52248000.0,2018
AAT,2019-12-31,annual,1408662000.0,51003000.0,1357659000.0,99303000.0,1258356000.0,54008000.0,2019
AAT,2020-12-31,annual,1436811000.0,99151000.0,1307600000.0,137333000.0,1299478000.0,53440000.0,2020
AAT,2021-12-31,annual,1649203000.0,1649203000.0,1649203000.0,139524000.0,1509679000.0,58587000.0,2021
AAT,2022-12-31,annual,1682145000.0,34057000.0,1648088000.0,49571000.0,1598517000.0,58232000.0,2022
AAT,2023-12-31,annual,1712881000.0,100000000.0,1689627000.0,82888000.0,1629993000.0,64706000.0,2023
AAT,2024-12-31,annual,2031153000.0,325000000.0,2010515000.0,425659000.0,1605494000.0,74527000.0,2024
AAT,2025-12-31,annual,1706384000.0,0.0,1687610000.0,129362000.0,1577022000.0,78120000.0,2025
ABCB,2018-12-31,annual,310961000.0,70000000.0,240961000.0,1847714000.0,58113000.0,69934000.0,2018
ABCB,2019-12-31,annual,1554603000.0,1157453000.0,1526269000.0,1649886000.0,1279786000.0,131228000.0,2019
ABCB,2020-12-31,annual,574305000.0,24805000.0,549500000.0,1186477000.0,345902000.0,88750000.0,2020
ABCB,2021-12-31,annual,884100000.0,17893000.0,866207000.0,857428000.0,601400000.0,47785000.0,2021
ABCB,2022-12-31,annual,2004058000.0,11327000.0,2004058000.0,2618192000.0,885926000.0,92860000.0,2022
ABCB,2023-12-31,annual,639901000.0,11245000.0,639901000.0,2570248000.0,-527403000.0,445391000.0,2023
ABCB,2024-12-31,annual,424097000.0,,424097000.0,2891637000.0,-796280000.0,529094000.0,2024
ABCB,2025-12-31,annual,743017000.0,535250000.0,692341000.0,253807000.0,489210000.0,457602000.0,2025
ABG,2018-12-31,annual,1958900000.0,1092400000.0,866500000.0,8300000.0,1950600000.0,86100000.0,2018
ABG,2019-12-31,annual,1880900000.0,921600000.0,907000000.0,3500000.0,1877400000.0,92800000.0,2019
ABG,2020-12-31,annual,2365200000.0,896300000.0,1165200000.0,1400000.0,2363800000.0,74500000.0,2020
ABG,2021-12-31,annual,4561200000.0,802900000.0,3511700000.0,189900000.0,4382300000.0,102100000.0,2021
ABG,2022-12-31,annual,3688800000.0,253600000.0,3208400000.0,240700000.0,3453500000.0,160600000.0,2022
