ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense
AAMI,2018-03-31,quarterly,392900000.0,,,177100000.0,215800000.0,6300000.0
AAMI,2018-06-30,quarterly,408000000.0,,,234700000.0,173300000.0,6100000.0
AAMI,2018-09-30,quarterly,408100000.0,,,314100000.0,94000000.0,6300000.0
AAMI,2018-12-31,quarterly,393300000.0,,,340600000.0,52700000.0,6200000.0
AAMI,2019-03-31,quarterly,628400000.0,235000000.0,,73300000.0,555100000.0,7000000.0
AAMI,2019-06-30,quarterly,628500000.0,,,95900000.0,532600000.0,8800000.0
AAMI,2019-09-30,quarterly,603600000.0,,,116500000.0,487100000.0,8300000.0
AAMI,2019-12-31,quarterly,611300000.0,140000000.0,,111300000.0,500000000.0,8100000.0
AAMI,2020-03-31,quarterly,754900000.0,241700000.0,,124400000.0,630500000.0,7800000.0
AAMI,2020-06-30,quarterly,670600000.0,151700000.0,,115800000.0,554800000.0,7400000.0
AAMI,2020-09-30,quarterly,584200000.0,80000000.0,,129800000.0,454400000.0,6900000.0
AAMI,2020-12-31,quarterly,489100000.0,,,371300000.0,117800000.0,6400000.0
AAMI,2021-03-31,quarterly,572400000.0,81000000.0,,450500000.0,121900000.0,6200000.0
AAMI,2021-06-30,quarterly,528200000.0,53900000.0,,1175400000.0,-647200000.0,6300000.0
AAMI,2021-09-30,quarterly,505700000.0,33000000.0,,1422500000.0,-916800000.0,6200000.0
AAMI,2021-12-31,quarterly,472500000.0,,,252100000.0,220400000.0,6100000.0
AAMI,2022-03-31,quarterly,437300000.0,88000000.0,,88800000.0,348500000.0,6500000.0
AAMI,2022-06-30,quarterly,399400000.0,50000000.0,,92200000.0,307200000.0,4800000.0
AAMI,2022-09-30,quarterly,377700000.0,29000000.0,,101400000.0,276300000.0,4600000.0
AAMI,2022-12-31,quarterly,349300000.0,,,108400000.0,240900000.0,4600000.0
AAMI,2023-03-31,quarterly,437600000.0,87000000.0,,154100000.0,283500000.0,4900000.0
AAMI,2023-06-30,quarterly,387500000.0,38000000.0,,140800000.0,246700000.0,5400000.0
AAMI,2023-09-30,quarterly,360700000.0,13000000.0,273800000.0,143100000.0,217600000.0,4800000.0
AAMI,2023-12-31,quarterly,346300000.0,8400000.0,273900000.0,146800000.0,199500000.0,4500000.0
AAMI,2024-03-31,quarterly,417600000.0,73000000.0,274000000.0,102200000.0,315400000.0,5000000.0
AAMI,2024-06-30,quarterly,379200000.0,36000000.0,274100000.0,71600000.0,307600000.0,5300000.0
AAMI,2024-09-30,quarterly,341800000.0,2300000.0,274200000.0,53600000.0,288200000.0,4700000.0
AAMI,2024-12-31,quarterly,341600000.0,9500000.0,274300000.0,94800000.0,246800000.0,4400000.0
AAMI,2025-03-31,quarterly,419900000.0,87100000.0,274400000.0,119600000.0,300300000.0,4800000.0
AAMI,2025-06-30,quarterly,358300000.0,24700000.0,274500000.0,90200000.0,268100000.0,5300000.0
AAMI,2025-09-30,quarterly,336900000.0,2400000.0,274600000.0,117300000.0,219600000.0,4600000.0
AAMI,2025-12-31,quarterly,322800000.0,,,101200000.0,221600000.0,7000000.0
AAP,2018-03-31,quarterly,1044930000.0,175000.0,1044755000.0,639143000.0,405612000.0,17682000.0
AAP,2018-06-30,quarterly,1045258000.0,181000.0,1045077000.0,902249000.0,142828000.0,12855000.0
AAP,2018-09-30,quarterly,1045609000.0,211000.0,1045398000.0,970006000.0,75392000.0,13076000.0
AAP,2018-12-31,quarterly,1350508000.0,304788000.0,1045720000.0,896527000.0,149193000.0,12975000.0
AAP,2019-03-31,quarterly,2800940000.0,63000.0,746767000.0,537330000.0,2263610000.0,14944000.0
AAP,2019-06-30,quarterly,3228382000.0,449081000.0,746951000.0,747719000.0,2480663000.0,8675000.0
AAP,2019-09-30,quarterly,2744857000.0,,747136000.0,573726000.0,2171131000.0,8443000.0
AAP,2019-12-31,quarterly,2764479000.0,201850000.0,747320000.0,418665000.0,2345814000.0,7836000.0
AAP,2020-03-31,quarterly,3737250000.0,500000000.0,1241094000.0,1279838000.0,2457412000.0,12243000.0
AAP,2020-06-30,quarterly,3281740000.0,,1240340000.0,1141502000.0,2140238000.0,13422000.0
AAP,2020-09-30,quarterly,3046770000.0,,1031872000.0,1068205000.0,1978565000.0,11925000.0
AAP,2020-12-31,quarterly,3047483000.0,264359000.0,1032984000.0,834992000.0,2212491000.0,9296000.0
