ticker,period_end,frequency,total_debt,short_term_debt,long_term_debt,cash_and_equivalents,net_debt,interest_expense
ARI,2018-03-31,quarterly,1798721000.0,14499000.0,600471000.0,98310000.0,1700411000.0,22740000.0
ARI,2018-06-30,quarterly,3135000000.0,2547937000.0,587063000.0,76384000.0,2471553000.0,28437000.0
ARI,2018-09-30,quarterly,2367045000.0,829103000.0,370174000.0,99188000.0,2267857000.0,31007000.0
ARI,2018-12-31,quarterly,2471522000.0,779399000.0,592000000.0,109806000.0,2361716000.0,32412999.0
ARI,2019-03-31,quarterly,2718431000.0,2159767000.0,558664000.0,109343000.0,2591260000.0,36295000.0
ARI,2019-06-30,quarterly,2864261000.0,1801303000.0,1062958000.0,116472000.0,952961000.0,33511000.0
ARI,2019-09-30,quarterly,3632274000.0,2559318000.0,1072956000.0,160934000.0,1056916000.0,39341000.0
ARI,2019-12-31,quarterly,4127900000.0,812980000.0,1068880000.0,452282000.0,3675618000.0,43779000.0
ARI,2020-03-31,quarterly,4476962000.0,3377256000.0,1099706000.0,582138000.0,685025000.0,41205000.0
ARI,2020-06-30,quarterly,4488939000.0,3440177000.0,1048762000.0,487165000.0,744362000.0,37498000.0
ARI,2020-09-30,quarterly,7992222000.0,3478083000.0,4514139000.0,438234000.0,802193000.0,34824000.0
ARI,2020-12-31,quarterly,7999697000.0,3449665000.0,4550032000.0,325498000.0,909387000.0,35364000.0
ARI,2021-03-31,quarterly,8245025000.0,3430379000.0,4814646000.0,294060000.0,1244804000.0,35664000.0
ARI,2021-06-30,quarterly,9228127000.0,3689659000.0,2056580000.0,204581000.0,1819306000.0,39737000.0
ARI,2021-09-30,quarterly,8726324000.0,3450858000.0,2050196000.0,243414000.0,1774089000.0,42391000.0
ARI,2021-12-31,quarterly,10141953000.0,4159330000.0,2013294000.0,343106000.0,1670188000.0,44730000.0
ARI,2022-03-31,quarterly,10994256000.0,4582019000.0,6412237000.0,215749000.0,6375644000.0,45118000.0
ARI,2022-06-30,quarterly,12219402000.0,5193861000.0,2489574000.0,241619000.0,7441816000.0,56529000.0
ARI,2022-09-30,quarterly,12209538000.0,5364119000.0,2250368000.0,319264000.0,7295223000.0,72302000.0
ARI,2022-12-31,quarterly,7286180000.0,494844000.0,6791336000.0,222030000.0,2076248000.0,96576000.0
ARI,2023-03-31,quarterly,12129669000.0,5332603000.0,6797066000.0,331533000.0,6626144000.0,104868000.0
ARI,2023-06-30,quarterly,9994904000.0,5379274000.0,4615630000.0,308052000.0,6661015000.0,116278000.0
ARI,2023-09-30,quarterly,8980937000.0,5147427000.0,3833510000.0,307845000.0,6421091000.0,121817000.0
ARI,2023-12-31,quarterly,6954825000.0,864177000.0,1403016000.0,225438000.0,6729387000.0,123147000.0
ARI,2024-03-31,quarterly,7012592000.0,701284000.0,1402101000.0,161190000.0,6851402000.0,127887000.0
ARI,2024-06-30,quarterly,7117049000.0,1245809000.0,1477373000.0,174703000.0,6942346000.0,128472000.0
ARI,2024-09-30,quarterly,7117734000.0,1252050000.0,1592909000.0,194287000.0,6923447000.0,134088000.0
ARI,2024-12-31,quarterly,6390203000.0,1004188000.0,1566441000.0,317396000.0,6072807000.0,113502000.0
ARI,2025-03-31,quarterly,6814966000.0,1243269000.0,1595189000.0,166424000.0,6648542000.0,105057000.0
ARI,2025-06-30,quarterly,7815934000.0,1889525000.0,1602746000.0,177623000.0,7638311000.0,124178000.0
ARI,2025-09-30,quarterly,7524344000.0,798703000.0,1628329000.0,245856000.0,7278488000.0,115368000.0
ARI,2025-12-31,quarterly,7918012000.0,701112000.0,1649462000.0,139825000.0,7778187000.0,115486000.0
CENT,2018-03-31,quarterly,691104000.0,20000.0,691084000.0,132265000.0,558839000.0,10575000.0
CENT,2018-06-30,quarterly,691860000.0,119000.0,691741000.0,204388000.0,487472000.0,10597000.0
CENT,2018-09-30,quarterly,692153000.0,122000.0,692031000.0,482106000.0,210047000.0,10619000.0
CENT,2018-12-31,quarterly,692449000.0,117000.0,692332000.0,478737000.0,213712000.0,10614000.0
CENT,2019-03-31,quarterly,697765000.0,5119000.0,692646000.0,329724000.0,368041000.0,10640000.0
CENT,2019-06-30,quarterly,693064000.0,116000.0,692948000.0,445751000.0,247432000.0,10676000.0
CENT,2019-09-30,quarterly,693150000.0,113000.0,693037000.0,497749000.0,195401000.0,10684000.0
CENT,2019-12-31,quarterly,803039000.0,34427000.0,693329000.0,445813000.0,357226000.0,10641000.0
CENT,2020-03-31,quarterly,796888000.0,32506000.0,693622000.0,331555000.0,465333000.0,10753000.0
CENT,2020-06-30,quarterly,797119000.0,31746000.0,693915000.0,495339000.0,301780000.0,11829000.0
CENT,2020-09-30,quarterly,814064000.0,33592000.0,693956000.0,652712000.0,161352000.0,10793000.0
CENT,2020-12-31,quarterly,909581000.0,34931000.0,788921000.0,608285000.0,301296000.0,20975000.0
CENT,2021-03-31,quarterly,1119404000.0,40677000.0,978887000.0,39869000.0,1079535000.0,10222000.0
CENT,2021-06-30,quarterly,1338412000.0,39643000.0,1183591000.0,517052000.0,821360000.0,13131000.0
CENT,2021-09-30,quarterly,1356620000.0,41812000.0,1184683000.0,426422000.0,930198000.0,14269000.0
CENT,2021-12-31,quarterly,1360693000.0,43462000.0,1185057000.0,296038000.0,1064655000.0,14484000.0
CENT,2022-03-31,quarterly,1396045000.0,45143000.0,1185456000.0,54082000.0,1341963000.0,14729000.0
CENT,2022-06-30,quarterly,1387056000.0,46212000.0,1185842000.0,195791000.0,1191265000.0,14422000.0
CENT,2022-09-30,quarterly,1382397000.0,48428000.0,1186245000.0,177442000.0,1204955000.0,14620000.0
CENT,2022-12-31,quarterly,1381559000.0,49649000.0,1186649000.0,87800000.0,1293759000.0,14469000.0
CENT,2023-03-31,quarterly,1397100000.0,49352000.0,1212053000.0,60607000.0,1336493000.0,14876000.0
CENT,2023-06-30,quarterly,1370381000.0,50464000.0,1187498000.0,333139000.0,1037242000.0,14542000.0
CENT,2023-09-30,quarterly,1374421000.0,50844000.0,1187956000.0,488730000.0,885691000.0,13138000.0
CENT,2023-12-31,quarterly,1377302000.0,51501000.0,1189093000.0,341419000.0,1035883000.0,14316000.0
CENT,2024-03-31,quarterly,1375045000.0,51367000.0,1188955000.0,301332000.0,1073713000.0,14376000.0
CENT,2024-06-30,quarterly,1394057000.0,53653000.0,1189366000.0,570398000.0,823659000.0,14720000.0
CENT,2024-09-30,quarterly,1420447000.0,57552000.0,1189809000.0,753550000.0,666897000.0,14115000.0
CENT,2024-12-31,quarterly,1412338000.0,58796000.0,1190271000.0,618020000.0,794318000.0,14470000.0
CENT,2025-03-31,quarterly,1424870000.0,58565000.0,1190724000.0,516675000.0,908195000.0,14510000.0
CENT,2025-06-30,quarterly,1436346000.0,56860000.0,1191179000.0,713049000.0,723297000.0,14360000.0
CENT,2025-09-30,quarterly,1440307000.0,56927000.0,1191641000.0,882488000.0,557819000.0,14357000.0
CENT,2025-12-31,quarterly,1607115000.0,52911000.0,1192092000.0,721150000.0,885965000.0,14511000.0
CNMD,2018-03-31,quarterly,458201000.0,15793000.0,442408000.0,21131000.0,437070000.0,4818000.0
CNMD,2018-06-30,quarterly,449187000.0,16951000.0,432236000.0,23401000.0,425786000.0,5091000.0
CNMD,2018-09-30,quarterly,460945000.0,18045000.0,442900000.0,29691000.0,431254000.0,5214000.0
CNMD,2018-12-31,quarterly,456900000.0,-24588000.0,438564000.0,17511000.0,439389000.0,5529000.0
CNMD,2019-03-31,quarterly,817940000.0,21494000.0,803311000.0,23407000.0,794533000.0,9369000.0
CNMD,2019-06-30,quarterly,809663000.0,19995000.0,796148000.0,22549000.0,787114000.0,11839000.0
CNMD,2019-09-30,quarterly,794171000.0,13482000.0,780689000.0,30068000.0,764103000.0,11174000.0
CNMD,2019-12-31,quarterly,793171000.0,20864000.0,755211000.0,25856000.0,767315000.0,10319000.0
CNMD,2020-03-31,quarterly,786201000.0,13571000.0,772630000.0,24309000.0,761892000.0,9592000.0
CNMD,2020-06-30,quarterly,805618000.0,15193000.0,790425000.0,34983000.0,770635000.0,11401000.0
CNMD,2020-09-30,quarterly,777256000.0,16805000.0,760451000.0,35598000.0,741658000.0,11943000.0
CNMD,2020-12-31,quarterly,776448000.0,26081000.0,734831000.0,27356000.0,749092000.0,11114000.0
CNMD,2021-03-31,quarterly,745396000.0,20076000.0,725320000.0,36769000.0,708627000.0,10351000.0
CNMD,2021-06-30,quarterly,729676000.0,21868000.0,707808000.0,46388000.0,683288000.0,9420000.0
CNMD,2021-09-30,quarterly,715586000.0,12251000.0,703335000.0,31511000.0,684075000.0,8145000.0
CNMD,2021-12-31,quarterly,684656000.0,12249000.0,672407000.0,20847000.0,663809000.0,7569000.0
CNMD,2022-03-31,quarterly,715773000.0,12231000.0,703542000.0,24864000.0,690909000.0,4998000.0
CNMD,2022-06-30,quarterly,982699000.0,272000.0,982427000.0,53152000.0,929547000.0,5928000.0
CNMD,2022-09-30,quarterly,1036675000.0,237000.0,1036438000.0,33354000.0,1003321000.0,8536000.0
CNMD,2022-12-31,quarterly,1054822000.0,69746000.0,985076000.0,28942000.0,1025880000.0,9443000.0
CNMD,2023-03-31,quarterly,1064969000.0,69693000.0,995276000.0,26494000.0,1038475000.0,10255000.0
CNMD,2023-06-30,quarterly,1041107000.0,69632000.0,971475000.0,27848000.0,1013259000.0,9997000.0
CNMD,2023-09-30,quarterly,1012791000.0,70625000.0,942166000.0,30502000.0,982289000.0,10019000.0
CNMD,2023-12-31,quarterly,973848000.0,708000.0,973140000.0,24296000.0,949552000.0,9505000.0
CNMD,2024-03-31,quarterly,990802000.0,692000.0,990110000.0,33855000.0,956947000.0,9594000.0
