ticker,entity_name,cik,period_end,fy,form,filed,y1,y2,y3,y4,y5,yGT5,rem,total_in_table,n_buckets,due_within_2y,due_within_5y,pct_due_within_2y,pct_due_within_5y
AAP,"Advance Auto Parts, Inc.",1158449,2026-01-03,2026.0,10-K,2026-02-13,0.0,350000000.0,300000000.0,0.0,1475000000.0,1325000000.0,,3450000000.0,6,350000000.0,2125000000.0,0.10144927536231885,0.6159420289855072
ABG,"ASBURY AUTOMOTIVE GROUP, INC",1144980,2025-12-31,2025.0,10-K,2026-02-20,484400000.0,42400000.0,610200000.0,837700000.0,482900000.0,1135800000.0,,3593400000.0,6,526800000.0,2457600000.0,0.1466021038570713,0.6839205209550844
ABR,"ARBOR REALTY TRUST, INC.",1253986,2025-12-31,2025.0,10-K,2026-02-27,4931405000.0,3067110000.0,2368357000.0,53586000.0,500000000.0,154336000.0,,11074794000.0,6,7998515000.0,10920458000.0,0.7222269777659069,0.9860642103139796
ADT,ADT INC.,1703056,2025-12-31,2025.0,10-K,2026-03-02,287530000.0,1179896000.0,132050000.0,1093356000.0,1987196000.0,3119180000.0,,7799208000.0,6,1467426000.0,4680028000.0,0.18815064298836498,0.6000645193717106
ARI,"Apollo Commercial Real Estate Finance, Inc.",1467760,2012-12-31,2012.0,10-K,2013-03-01,179071000.0,,,,,,,179071000.0,1,179071000.0,179071000.0,1.0,1.0
ARR,"ARMOUR RESIDENTIAL REIT, INC.",1428205,,,,,,,,,,,,0.0,0,0.0,0.0,,
BXMT,"Blackstone Mortgage Trust, Inc.",1061630,2025-12-31,2025.0,10-K,2026-02-11,1862237000.0,4291304000.0,1585658000.0,2349227000.0,3235822000.0,700600000.0,,14024848000.0,6,6153541000.0,13324248000.0,0.4387599067027322,0.9500458044179872
CC,The Chemours Company,1627223,2017-12-31,2017.0,10-K,2018-02-16,,,,,,2758000000.0,,2758000000.0,1,0.0,0.0,0.0,0.0
CE,CELANESE CORPORATION,1306830,2025-12-31,2025.0,10-K,2026-02-24,1204000000.0,1357000000.0,1564000000.0,1356000000.0,1800000000.0,5423000000.0,,12704000000.0,6,2561000000.0,7281000000.0,0.20159005037783376,0.5731265743073047
CRGY,Crescent Energy Company,0001866175,,,,,,,,,,,,0.0,0,0.0,0.0,,
CWEN-A,"Clearway Energy, Inc.",1567683,2025-12-31,2025.0,10-K,2026-02-24,1139000000.0,364000000.0,2022000000.0,863000000.0,995000000.0,3291000000.0,,8674000000.0,6,1503000000.0,5383000000.0,0.1732764583813696,0.6205902697717316
CWEN,"Clearway Energy, Inc.",1567683,2025-12-31,2025.0,10-K,2026-02-24,1139000000.0,364000000.0,2022000000.0,863000000.0,995000000.0,3291000000.0,,8674000000.0,6,1503000000.0,5383000000.0,0.1732764583813696,0.6205902697717316
CZR,"CAESARS ENTERTAINMENT, INC.",1590895,2025-12-31,2025.0,10-K,2026-02-17,114000000.0,114000000.0,805000000.0,1574000000.0,3962000000.0,5336000000.0,,11905000000.0,6,228000000.0,6569000000.0,0.019151616967660646,0.551784964300714
DEI,"Douglas Emmett, Inc.",1364250,2019-12-31,2019.0,10-K,2020-02-14,752000.0,787000.0,300823000.0,915862000.0,800902000.0,2634138000.0,,4653264000.0,6,1539000.0,2019126000.0,0.000330735586891266,0.4339160640788917
DXC,DXC TECHNOLOGY COMPANY,1688568,2025-03-31,2025.0,10-K,2025-05-15,757000000.0,722000000.0,813000000.0,653000000.0,2000000.0,651000000.0,,3598000000.0,6,1479000000.0,2947000000.0,0.4110617009449694,0.8190661478599222
EFC,Ellington Financial Inc.,1411342,,,,,,,,,,,,0.0,0,0.0,0.0,,
EMN,EASTMAN CHEMICAL CO,915389,,,,,,,,,,,,0.0,0,0.0,0.0,,
FBRT,"FRANKLIN BSP REALTY TRUST, INC.",1562528,,,,,,,,,,,,0.0,0,0.0,0.0,,
FUN,Six Flags Entertainment Corporation/NEW,0001999001,,,,,,,,,,,,0.0,0,0.0,0.0,,
GPI,"Group 1 Automotive, Inc",1031203,2025-12-31,2025.0,10-K,2026-02-13,260000000.0,244400000.0,926000000.0,318400000.0,1575600000.0,388300000.0,,3712700000.0,6,504400000.0,3324400000.0,0.13585800091577557,0.8954130417216581
HTZ,"HERTZ GLOBAL HOLDINGS, INC.",1657853,2025-12-31,2025.0,10-K,2026-02-26,3185000000.0,4760000000.0,3946000000.0,3459000000.0,1389000000.0,464000000.0,,17203000000.0,6,7945000000.0,16739000000.0,0.4618380515026449,0.9730279602394931
JBLU,JETBLUE AIRWAYS CORP,1158463,2026-03-31,2026.0,10-Q,2026-04-28,,,,,,,650000000.0,650000000.0,1,0.0,0.0,0.0,0.0
