ticker,name,sector,industry,period_end,fiscal_year,total_debt,net_debt,ebitda,interest_expense,fcf,cash,interest_coverage_ebit,net_debt_to_ebitda,debt_to_equity,fcf_to_debt,implied_cost_of_debt,debt_5y_pct,interest_5y_pct,ebitda_5y_pct,cash_5y_pct,score_coverage,score_leverage,score_fcf,score_trend,stress_score
RITM,Rithm Capital Corp.,Real Estate,REIT - Mortgage,2025-12-31,2025,39622837000.0,37775211000.0,1353860000.0,440000000.0,-762615000.0,1847626000.0,2.8326886363636365,27.901859128713458,4.699946396928197,-0.0192468550396833,0.0121519636192303,53.97441013506536,-24.71799188665267,-197.15940814185308,-87.83609266770827,71.67311363636364,100.0,23.84937100793666,0.0,48.9
CZR,Caesars Entertainment Corporation,Consumer Cyclical,Resorts & Casinos,2025-12-31,2025,26344000000.0,25457000000.0,3495000000.0,2324000000.0,520000000.0,887000000.0,0.8941480206540448,7.283834048640916,7.518264840182648,0.019738839963559,0.0904174609967708,-2.1832763998217763,93.34442595673877,1852.513966480447,-50.05630630630631,91.05851979345955,91.04792560801145,16.0522320072882,62.229617304492514,65.1
RWT,Redwood Trust Inc,Real Estate,REIT - Mortgage,2025-12-31,2025,22291413000.0,22035749000.0,1065450000.0,18104000.0,-10094521000.0,678680000.0,58.29584622182943,20.68210521375945,22.685782645509537,-0.4528434783384974,0.0009359382477208,145.90046262538857,-95.95892857142857,-3564.878048780488,-0.11450303035654974,0.0,100.0,100.0,0.0,50.0
HTZ,Hertz Global Holdings Inc,Industrials,Rental & Leasing Services,2025-12-31,2025,19197000000.0,18030000000.0,2512000000.0,1077000000.0,-8655000000.0,1167000000.0,0.2293407613741875,7.177547770700637,,-0.450851695577434,0.0572796170721978,203.65390699145837,77.13815789473684,141.53846153846152,6.478102189781021,97.70659238625812,89.71934713375796,100.0,51.425438596491226,84.7
PMT,PennyMac Mortgage Investment Trust,Real Estate,REIT - Mortgage,2025-12-31,2025,19094332000.0,18822362000.0,964276000.0,870394000.0,142288000.0,462488000.0,,19.519683161252587,10.117108233796827,0.0074518448720803,0.0557507782119921,354.8033511092755,221.45141633120363,1109.4268155023203,-84.5024330973621,100.0,100.0,18.50963102558394,100.0,79.6
ARR,ARMOUR Residential REIT Inc,Real Estate,REIT - Mortgage,2025-12-31,2025,17941796000.0,17878526000.0,964772000.0,642085000.0,124202000.0,63270000.0,,18.531348339296745,7.935150569225931,0.00692249538452,0.044811878014347,295.4304801861555,919.6519032570548,-696.311267692688,-98.81649676683078,100.0,100.0,18.615500923096,100.0,79.7
LUMN,Lumen Technologies Inc,Communication Services,Telecom Services,2025-12-31,2025,17707000000.0,16704000000.0,1317000000.0,1284000000.0,371000000.0,1003000000.0,-1.115264797507788,12.683371298405469,,0.0209521658101315,0.0697352342158859,-47.33351179322447,-23.021582733812952,-76.46533238027162,145.23227383863082,100.0,100.0,15.809566837973701,0.0,54.0
EFC,Ellington Financial Inc.,Real Estate,REIT - Mortgage,2025-12-31,2025,16963584000.0,16761691000.0,459094000.0,304533000.0,509044000.0,201893000.0,,36.51036824702566,9.248194502521182,0.0300080454696366,0.0194933831456389,536.4940191208033,7720.570107858243,1161.7325344912879,80.83154943706504,100.0,100.0,13.998390906072679,100.0,78.5
BXMT,Blackstone Mortgage Trust Inc,Real Estate,REIT - Mortgage,2025-12-31,2025,16178449000.0,15725923000.0,1166835000.0,988947000.0,275873000.0,452526000.0,1.1102667787050269,13.477417972549675,4.623854000245791,0.0170518817965801,0.0619891303223638,25.304453954795612,184.61281660915589,1337.8920257797383,55.77916087190009,88.89733221294973,100.0,16.589623640683982,100.0,76.4
RUN,Sunrun Inc,Technology,Solar,2025-12-31,2025,14886097000.0,13649257000.0,2050085000.0,2405609000.0,-423217000.0,1236840000.0,0.5110078154845613,6.657898087152484,4.752170162720703,-0.0284303535036752,0.1723922164804149,187.26736146088183,943.191052944263,-1058.082139285347,137.86985662496517,94.88992184515439,83.22372608940604,25.68607070073504,100.0,75.9
