ticker,name,sector,industry,period_end,fiscal_year,total_debt,net_debt,ebitda,interest_expense,fcf,cash,interest_coverage_ebit,net_debt_to_ebitda,debt_to_equity,fcf_to_debt,implied_cost_of_debt,debt_5y_pct,interest_5y_pct,ebitda_5y_pct,cash_5y_pct,score_coverage,score_leverage,score_fcf,score_trend,stress_score
CZR,Caesars Entertainment Corporation,Consumer Cyclical,Resorts & Casinos,2025-12-31,2025,26344000000.0,25457000000.0,3495000000.0,2324000000.0,520000000.0,887000000.0,0.8941480206540448,7.283834048640916,7.518264840182648,0.019738839963559,0.0904174609967708,-2.1832763998217763,93.34442595673877,1852.513966480447,-50.05630630630631,91.05851979345955,91.04792560801145,16.0522320072882,62.229617304492514,65.1
HTZ,Hertz Global Holdings Inc,Industrials,Rental & Leasing Services,2025-12-31,2025,19197000000.0,18030000000.0,2512000000.0,1077000000.0,-8655000000.0,1167000000.0,0.2293407613741875,7.177547770700637,,-0.450851695577434,0.0572796170721978,203.65390699145837,77.13815789473684,141.53846153846152,6.478102189781021,97.70659238625812,89.71934713375796,100.0,51.425438596491226,84.7
LUMN,Lumen Technologies Inc,Communication Services,Telecom Services,2025-12-31,2025,17707000000.0,16704000000.0,1317000000.0,1284000000.0,371000000.0,1003000000.0,-1.115264797507788,12.683371298405469,,0.0209521658101315,0.0697352342158859,-47.33351179322447,-23.021582733812952,-76.46533238027162,145.23227383863082,100.0,100.0,15.809566837973701,0.0,54.0
RUN,Sunrun Inc,Technology,Solar,2025-12-31,2025,14886097000.0,13649257000.0,2050085000.0,2405609000.0,-423217000.0,1236840000.0,0.5110078154845613,6.657898087152484,4.752170162720703,-0.0284303535036752,0.1723922164804149,187.26736146088183,943.191052944263,-1058.082139285347,137.86985662496517,94.88992184515439,83.22372608940604,25.68607070073504,100.0,75.9
CE,Celanese Corporation,Basic Materials,Chemicals,2025-12-31,2025,12934000000.0,11671000000.0,292000000.0,769000000.0,803000000.0,1263000000.0,-0.5864759427828349,39.96917808219178,3.1943689799950605,0.062084428637699,0.059414355249942,226.0398285858331,605.5045871559633,-89.24889543446244,-15.120967741935488,100.0,100.0,7.5831142724602,100.0,76.9
JBLU,JetBlue Airways Corp,Industrials,Airlines,2025-12-31,2025,10255000000.0,8209000000.0,494000000.0,580000000.0,-915000000.0,2259000000.0,-0.3344827586206896,16.61740890688259,4.837264150943396,-0.0892247684056557,0.0598030623292261,79.03282122905028,224.02234636871506,-132.80212483399734,-26.00720602685883,100.0,100.0,37.844953681131145,100.0,84.5
CWEN,Clearway Energy Inc Class C,Utilities,Utilities - Renewable,2025-12-31,2025,10198000000.0,9380000000.0,1097000000.0,387000000.0,369000000.0,818000000.0,0.5478036175710594,8.550592525068367,5.3004158004158,0.0361835654049813,0.0431269850114225,39.431227782335256,-6.746987951807226,24.800910125142206,205.22388059701493,94.5219638242894,100.0,12.76328691900374,0.0,51.8
CWEN-A,Clearway Energy Inc,Utilities,Utilities - Renewable,2025-12-31,2025,10198000000.0,9380000000.0,1097000000.0,387000000.0,369000000.0,818000000.0,0.5478036175710594,8.550592525068367,5.3004158004158,0.0361835654049813,0.0431269850114225,39.431227782335256,-6.746987951807226,24.800910125142206,205.22388059701493,94.5219638242894,100.0,12.76328691900374,0.0,51.8
OGN,Organon & Co,Healthcare,Drug Manufacturers - General,2025-12-31,2025,8800000000.0,8226000000.0,1282333245.0,504000000.0,538000000.0,574000000.0,1.843253968253968,6.414869170766917,11.702127659574469,0.0611363636363636,0.0565149136577708,28287.09677419355,8300.0,-57.09825209100033,4683.333333333334,81.56746031746032,80.18586463458647,7.7727272727272805,100.0,67.4
PENN,Penn National Gaming Inc,Consumer Cyclical,Resorts & Casinos,2025-12-31,2025,8377500000.0,7690900000.0,32000000.0,405800000.0,-139500000.0,686600000.0,-1.0224248398225726,240.340625,4.567884405670665,-0.016651745747538,0.0413518319432202,-24.915975801030697,-25.294550810014726,-58.22454308093995,-62.96256338332075,100.0,100.0,23.3303491495076,0.0,55.8
ADT,ADT Inc,Industrials,Security & Protection Services,2025-12-31,2025,7689000000.0,7608000000.0,2660000000.0,459000000.0,1313000000.0,81000000.0,2.816993464052288,2.860150375939849,2.0346652553585605,0.1707634282741578,0.059247051297491,-19.26061244117413,-35.186793356010895,37.1232975575557,-60.48780487804878,71.83006535947712,35.751879699248114,0.0,0.0,26.9
