ticker,vintage,wam_yrs,total
AAP,FY2019,3.1,750002019.0
AAP,FY2025,5.333333333333333,1800002024.0
ABG,FY2025,4.616964434797128,3593402025.0
ABR,FY2019,2.3616309133223177,4678865019.0
ABR,FY2025,1.5112395770070306,11074796025.0
ADT,FY2025,5.32437293632892,7799210025.0
BXMT,FY2019,8.5,1002156019.0
BXMT,FY2025,2.8571299311051357,14024850025.0
CE,FY2019,4.281799643130258,3923002019.0
CE,FY2025,5.154990554156171,12704002025.0
CWEN,FY2019,5.382764654418198,6858002019.0
CWEN,FY2025,4.800783952040581,8674002025.0
CWEN-A,FY2019,5.382764654418198,6858002019.0
CWEN-A,FY2025,4.800783952040581,8674002025.0
CZR,FY2019,6.250279039449768,2597305019.0
CZR,FY2025,5.958378832423351,11905002025.0
DXC,FY2019,4.596226077624754,5591002019.0
DXC,FY2025,3.1467481934408004,3598002025.0
GPI,FY2019,3.7938669507891056,1501702019.0
GPI,FY2025,3.8561558973253964,3712702025.0
HTZ,FY2019,2.760512521840419,17170002019.0
HTZ,FY2025,2.377405103760972,17203002025.0
JBLU,FY2019,4.563410454155956,2334002019.0
JBLU,FY2025,5.768886796893387,8498002025.0
LKQ,FY2019,5.178454656232549,4072028019.0
LKQ,FY2025,4.914343707713126,3695002025.0
LTH,FY2025,8.157944064939587,1525235025.0
MPT,FY2019,3.800625543302255,2933452019.0
MPT,FY2025,5.22049397042297,9830874025.0
NWL,FY2019,5.888921708308719,5755402019.0
NWL,FY2025,4.779779567613396,4718002025.0
OGN,FY2025,5.998965754998851,8702002025.0
OI,FY2019,4.615791393143691,5484002019.0
OI,FY2025,4.891189067917601,4903002025.0
PENN,FY2019,6.361471682513435,2419002019.0
PENN,FY2025,2.385885472263352,2904102025.0
RHP,FY2019,5.563315611406477,2586252019.0
RHP,FY2025,5.624351072219035,4040128025.0
RITM,FY2019,3.595337053786753,5939959019.0
RITM,FY2025,1.5786705373446777,29902429025.0
RUN,FY2019,5.83716361981827,2303311019.0
RUN,FY2025,5.695440381925654,14859229025.0
SABR,FY2019,3.792014201757591,3363811019.0
SABR,FY2025,3.63996083875842,4532034025.0
SAFE,FY2019,5.080761912411911,3436040019.0
SAFE,FY2025,7.197330146095616,4640593025.0
SLG,FY2019,3.8356594510367024,5551885019.0
SLG,FY2025,2.1164100918309043,4044501025.0
TRN,FY2019,0.5,219302019.0
TRN,FY2025,3.257632854660203,5466502025.0
TWO,FY2025,0.7164697443621042,8557184025.0
VAC,FY2019,7.701065246338215,2253002019.0
VAC,FY2025,4.496134403806125,3363002025.0
VSAT,FY2019,8.084518880769124,1439562019.0
VSAT,FY2025,4.547265130773048,7204277025.0
