ticker,name,gics_sector,gics_sub_industry,hq,eodhd_ticker
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",AAMI.US
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",AAP.US
AAT,American Assets Trust,Real Estate,Diversified REITs,"San Diego, California",AAT.US
ABCB,Ameris Bancorp,Financials,Regional Banks,"Atlanta, Georgia",ABCB.US
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,"Duluth, Georgia",ABG.US
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,"New York City, New York",ABM.US
ABR,Arbor Realty Trust,Financials,Mortgage REITs,"Uniondale, New York",ABR.US
ACA,"Arcosa, Inc.",Industrials,Construction & Engineering,"Dallas, Texas",ACA.US
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,"San Diego, California",ACAD.US
ACHC,Acadia Healthcare,Health Care,Health Care Facilities,"Franklin, Tennessee",ACHC.US
ACIW,ACI Worldwide,Information Technology,Application Software,"Miami, Florida",ACIW.US
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Materials & Equipment,"Beverly, Massachusetts",ACLS.US
ACMR,"ACM Research, Inc.",Information Technology,Semiconductor Materials & Equipment,"Fremont, California",ACMR.US
ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Raleigh, North Carolina",ACT.US
ADAM,"Adamas Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York",ADAM.US
ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services,"San Jose, California",ADEA.US
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,"Ramsey, New Jersey",ADMA.US
ADNT,Adient,Consumer Discretionary,Automotive Parts & Equipment,"Plymouth, Michigan",ADNT.US
ADT,ADT Inc.,Consumer Discretionary,Specialized Consumer Services,"Boca Raton, Florida",ADT.US
ADUS,Addus HomeCare Corp.,Health Care,Health Care Services,"Frisco, Texas",ADUS.US
AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail,"Pittsburgh, Pennsylvania",AEO.US
AESI,"Atlas Energy Solutions, Inc.",Energy,Oil & Gas Equipment & Services,"Austin, Texas",AESI.US
AGO,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",AGO.US
AGX,"Argan, Inc.",Industrials,Construction & Engineering,"Arlington County, Virginia",AGX.US
AGYS,"Agilysys, Inc.",Information Technology,Application Software,"Alpharetta, Georgia",AGYS.US
AHCO,AdaptHealth Corp.,Health Care,Health Care Equipment,"Plymouth Meeting, Pennsylvania",AHCO.US
AIN,Albany International Corp.,Industrials,Industrial Machinery & Supplies & Components,"Rochester, New Hampshire",AIN.US
AIR,AAR CORP.,Industrials,Aerospace & Defense,"Wood Dale, Illinois",AIR.US
AKR,Acadia Realty Trust,Real Estate,Retail REITs,"Rye, New York",AKR.US
